"4C OFFSHORE WIND FARMS DATABASE
PROTECTED BY COPYRIGHT - NOT FOR DISTRIBUTION
WWW.4COFFSHORE.COM
CN4T,Cangnan #4,"浙江温州苍南4号海上风电场项目
华能苍南4号海上风电场",China,Concept/Early Planning,,"Zhejiang, Wenzhou, Cangnan",,,29 Oct 2020: The project is included in the Zhejiang offshore wind development plan (approved by the National Energy Administration),31-Dec-2021,31-Dec-2021,,,,,,2021,400,High,4C estimate the start based on fair reasons associating with the project development progress. The offshore starting date was scheduled in 2020 according to the tender sent out by the developer. The project did not get authorized by end 2019,China Huaneng Group,"Huaneng Power International Co., Ltd (华能国际电力股份有限公司 )",,400,,Not Decided,,,,,,5.2,,77,,,,Grounded: High-Rise Pile Cap,77 x High-Rise Pile Cap,77 units of High-Rise Pile Cap,CNY 8720 million,8720,CNY,,,,,,4.3,15,27,35,36,,9.48,,27.3292,120.7523,East China Sea,Asia,Yes,,,,,,,2,39.7,,220,,,,,,,35,,,,,
CN1O,Cangzhou - Area 1,,China,Concept/Early Planning,,"Hebei, Cangzhou",,,01 May 2012: National Energy Board approve Hebei Province offshore wind farm project plan.,31-Dec-2037,31-Dec-2037,,,,,,2037,300,Low,4C estimate the start based on fair reasons associating with the project development progress. This project was not authorized but went through some early stage of development in the early 2010s. The project seems like being paused at the moment but holds potentials to re-start in the future through new price bidding auctions.,,,,300,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,7.2,8.7,,,,32.26,7.18,68.67,38.5516,117.9801,Bohai Sea,Asia,NO,,,,,,,,,,,,,,,,,,,,,,
CN1P,Cangzhou - Area 2,,China,Concept/Early Planning,,"Hebei, Cangzhou",,,01 May 2012: National Energy Board approve Hebei Province offshore wind farm project plan.,31-Dec-2038,31-Dec-2038,,,,,,2038,300,Low,4C estimate the start based on fair reasons associating with the project development progress. This project was not authorized but went through some early stage of development in the early 2010s. The project seems like being paused at the moment but holds potentials to re-start in the future through new price bidding auctions.,,,,300,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,9.4,11.7,,,,40.17,7.18,75.06,38.6007,118.0504,Bohai Sea,Asia,NO,,,,,,,,,,,,,,,,,,,,,,
CN1Q,Cangzhou - Area 3,,China,Concept/Early Planning,,"Hebei, Cangzhou",,,01 May 2012: National Energy Board approve Hebei Province offshore wind farm project plan.,31-Dec-2036,31-Dec-2036,,,,,,2036,300,Low,4C estimate the start based on fair reasons associating with the project development progress. This project was not authorized but went through some early stage of development in the early 2010s. The project seems like being paused at the moment but holds potentials to re-start in the future through new price bidding auctions.,,,,300,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,11.7,13.6,,,,47.78,7.17,69.22,38.6337,118.1483,Bohai Sea,Asia,NO,,,,,,,,,,,,,,,,,,,,,,
CN1R,Cangzhou - Area 4,,China,Concept/Early Planning,,"Hebei, Cangzhou",,,01 May 2012: National Energy Board approve Hebei Province offshore wind farm project plan.,31-Dec-2035,31-Dec-2035,,,,,,2035,200,Low,4C estimate the start based on fair reasons associating with the project development progress. This project was not authorized but went through some early stage of development in the early 2010s. The project seems like being paused at the moment but holds potentials to re-start in the future through new price bidding auctions.,,,,200,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,5,6.8,,,,24.06,7.18,49.05,38.5226,117.8933,Bohai Sea,Asia,NO,,,,,,,,,,,,,,,,,,,,,,
CN1S,Cangzhou - Area 5(intertidal),,China,Concept/Early Planning,,"Hebei, Cangzhou",,,01 May 2012: National Energy Board approve Hebei Province offshore wind farm project plan.,31-Dec-2037,31-Dec-2037,,,,,,2037,300,Low,4C estimate the start based on fair reasons associating with the project development progress. This project was not authorized but went through some early stage of development in the early 2010s. The project seems like being paused at the moment but holds potentials to re-start in the future through new price bidding auctions.,,,,300,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,2,4.6,,,,15.5,7.21,84.45,38.5748,117.756,Bohai Sea,Asia,NO,,,,,,,,,,,,,,,,,,,,,,
CN15,Caofeidian Offshore VAWT Windfarm,河北曹妃甸海上风力发电200MW,China,Dormant,,"Hebei, Tangshan, Caofeidian","Founder of Floating Windfarms Corporation, Dr. Y. H. Michael Pao, passed away suspending all current activity.",http://www.floatingwindfarms.com/projects.html,,,,,,,,,,,,,,Floating Windfarms Corporation,,450,,Floating-VAWT (Floating Windfarms Corporation),,,Floating-VAWT,,,0.3,,,,,19.2,Floating: Not Specified,,,,,,,,,,,,,,,,,7.2,,38.9807,118.3284,Bohai Sea,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,
ES24,Cap Term,,Spain,Cancelled,,Cataluña,Location estimated. Three stages of this project were planned.,,21 Mar 2017: Project status changed to 'Cancelled' due to no news of project or developer for several years.,,,,,,,,,,,,,,,,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,,,,,,,6.87,,40.9382,1,Balearic Sea,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
US36,Cape Lookout Energy Preserve,,United States,Cancelled,,North Carolina,Apex acquired the developer (OBOE) and have no plans to continue with the project.,,01 Jan 2014: Earliest estimated installation start year.,,,,,,,,,,,,Apex Wind Energy,Outer Banks Ocean Energy Corporation,,200,,Not Decided,,,,,,,,50,,,,Grounded: Not Specified,,,,,,,,,,,,,,,,,,,34.5595,-76.5313,Atlantic Ocean,North America,Yes,,,,,,,,,,,,,,,,,,,,,,
US4X,US Wind Maryland (MarWin),Lease OCS-A 0490 (south lease),United States,Consent Application Submitted,Atlantic Wind Lease Sale 3 (Maryland),Maryland,"This project was initially two separate lots, Maryland North and Maryland south. US Wind have combined the areas and given the project a new rating of between 500-600 MW.

248MW will use Maryland Offshore Renewable Energy Credits (ORECs)
Cost of the 248MW project is $1375m

Maryland imports much of its electricity, the Maryland Energy Administration estimates Marylanders pay approximately $250 Million per year in
“congestion fees” bundled in their monthly utility bills. “Injecting 750 MW of new power into the Eastern Shore grid will significantly help alleviate this electricity imbalance, and reduce or eliminate much of this hidden tax,” according to US Wind. “Maryland ratepayers are projected to see a net decrease of $2 or more in their monthly bills as a result of US Wind’s project.”",http://www.uswindinc.com/maryland-offshore-wind-project/,"01 Sep 2020: The COP was submitted in Q3 2020.

Update (October 2019): Schedule delayed, in part because of issues installing the met tower.

US Wind intends to submit its Construction and Operations Plan (COP) before Q4 2019.",01-Jan-2023,01-Jan-2023,01-Sep-2020,,,01-Dec-2024,,2023,248,High,"NOTE: Model as 248MW as this is all with subsidy at present. Project running into delays due to local objections - a delay of a year has been added.

MARYLAND: Applications to the Maryland Public Service Commission for approval for ORECs, which are limited to a price of $190/MWh (in 2012 USD) and a rate impact limit below $1.65/MWh for industrial customers. 368MW was awarded (120MW to Skipjack and 248MW to US Wind). In light of COVID-19, developers no longer consider a 2023 COD faesible; 2024 more likely.",Renexia,US Wind Inc.,,268,,Not Decided,,,,,,,,32,,,,Grounded: Jacket (Piled),,,USD 1375 million,1375,USD,ORECs (Offshore wind Renewable Energy Credits),"ORECs at a levelised price of $131.93 (2012$) per megawatt-hour (MWh) for a term of 20 years, beginning in January 2021.",USD,131.93,117.55,17.9,30,20,30,,25.7,,162.7,38.3488,-74.7611,Atlantic Ocean,North America,NO,Baltimore (marshaling),Ocean City,1,,"Indian River power plant in Millsboro, Delaware",Indian River Inlet,3,60,,,,,,,,196,,,,,,25
US03,Cape Wind,OCS-A 0478,United States,Cancelled,,Massachusetts,"Power Purchase agreement (PPA) 1 – National Grid. 50% of the power for 15 years, 20.7 cents per kWh with a yearly increase of 3.5% inflation increase. PPA 2 – Nstar. 27.5% of the power for 15 years. Agreed to purchase as part of deal to acquire Northeast Utilities. Cape Wind needs a buyer for the remaining 22.5% of the generated power. If this PPA is not filled there is a possibility that not all of the 130 turbines will be installed.
Cape Wind Project Estimated Cost in 2013 dollars.
Federal Aviation Administration (FAA) has cleared the wind farm once the local radar system is modified or a new one is installed by Cape Wind.
The Department of Energy (DoE) is considering giving theproject a loan guarantee.

Only 101 of 130 turbines will be  installed due to the project only having 77.7% of the power under PPAs.

Cape wind lost their power purchase agreements on 06/01/2015. Cited as not meeting the dealines contained in the 2012 contract.",http://www.capewind.org/index.php,"01 Jul 2018: In July, Cape Wind dismantled their meteorological tower, removing the last
vestiges of the project.",,,01-Jan-2001,06-Oct-2010,,,,,,,,Energy Management,Cape Wind Associates LLC,,468,,SWT-3.6-107 (Siemens),,,SWT-3.6-107,,,3.6,101,130,132,78.5,107,Grounded: Monopile,130 x Monopile,,USD 2620 million,2620,USD,,,,,,0.6,18.5,,,7,14.25,,77.42,41.5,-70.3311,Atlantic Ocean,North America,NO,New Bedford,Falmouth,1,,Barnstaple,Yarmouth,4,20,,115,,,,,,,33,,,,,
ES79,CARDON,,Spain,Concept/Early Planning,,Islas Canarias,"Greenalia plans to develop this project as part of Canaria Islands' 2025 offshore wind target 'Estrategia Energética de Canarias 2015-2025'. This project will be the first floating pilot array in Gran Canaria.

The produced electricity will be enough to feed approximately 70.000 households, as well as avoiding the equivalent of 140.000 tons on CO2 or the emissions of the 90.000 cars yearly.",,27 May 2020: Greenalia submitted an application of pre-administrative authorisation for the project.,01-Jan-2024,01-Jan-2024,,,,,31-Dec-2025,2025,50,Low,"In 2020, Greenalia proposed a development plan of a 60 MW project off the coast of Gran Canary island. The developer expects this project to contribute towards the established offshore wind target (310 MW by 2025). The developers expect to begin the offshore construction in 2024, and reach full operations by 2025 meeting Canaria Island's 2025 target. 4C estimates that this project will enter offshore construction in 2025.",Greenalia,Greenalia S.A.,,50,,"Based on the proposed EIA, Haliade-X unit can be deployed for this project.",,,,"Based on the proposed EIA, Haliade-X unit can be deployed for this project.",,12.5,,4,250,140,220,Floating: Semi-Submersible Platform,,A three column semi-submersible floating unit will be deployed,EUR 114.3 million,114.3,EUR,,,,,,,,,,,,,,27.7821,-15.3213,Atlantic Ocean,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
ES23,Cártago,,Spain,Cancelled,,Murcia,Location estimated. Three stages of this project were planned.,,21 Mar 2017: Project status changed to 'Cancelled' due to no news of project or developer for several years.,,,,,,,,,,,,,,,,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,,,,,,,,,37.4888,-0.9637,Mediterranean Sea,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
ES08,Cataluna - Capital Energy (two projects),,Spain,Dormant,,Cataluña,Capital Energy have two projects planned for Cataluna 180MW and 225MW,http://www.capitalenergy.es/proyectos-energia-renovable.html,,,,,,,,,,,,,,Capital Energy,,405,,Not Decided,,,,,,3,,144,,,,Grounded: Not Specified,,,,,,,,,,,,,,,,,6.51,,40.5431,0.6031,Balearic Sea,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
BR24,Cearà - B.I. Energia,,Brazil,Concept/Early Planning,,Cearà,"B.I. Energia plans to develop an offshore wind project off the Causaia - Ceara.

The project is made up of a total number of 59 wind turbines:

i) N.48 offshore wind turbines, built in the open sea, with a power from 6 MW and up to 12 MW, for a total power  between 288 and 576 MW. The model of turbine to be used for the proposed plant shall be between the following range of power and size:
 - Rotor Diameter: between 160m and 220 m;
 - Hub Height: between 100m and 150 m;
 - Single Wind Turbines Power: between 6MW and 12 MW;

ii) N.11 onshore wind turbines built on breakwater piers, near the coast, with a rated power between 2MW and 3MW, for a total power between 22 and 33 MW. The model of turbine to be used for the proposed plant shall be between the following range of power and size:
 - Rotor Diameter: between 90m and 110m;
 - Hub Height: between 95m and 105 m;
 - Single Wind Turbine Power: between 2MW and 3MW.",https://www.bienergialtda.com/,"06 Aug 2020: (Update 06/08/2020): IBAMA rejected the submitted EIA by BI Energia.

Update (14/05/2020): BI Energia submitted the RIMA to IBAMA on February 4th. IBAMA has 12 months on announcing its final decision on approving the project's RIMA. Construction start year of the project is dependant on IBAMA's approval day.

BI Energia expects to be granted the preliminary licence in Q1 2020, aiming for construction mid 2021.",01-Jan-2025,01-Jan-2025,,,,,,2025,598,Low,"B.I. Energia is working to realise a 598 MW offshore wind project off the coast of Ceara, in Caucaia. B.I. Energia states that onshore construction could start in H2 2021, presuming that B.I. Energia will obtain a preliminary license in H1 2021. The developer expects that the wind farm will enter offshore construction two years after the onshore construction start date. The COVID-19 outbreak in Brazil resulted in postponing the scheduled public hearing on the project's RIMA. IBAMA plans to hold the public hearing once COVID-19 restrictions are lifted in Brazil.
Although the developer's opinion and based on the current legislative progress, it is estimated that offshore construction of this project seems feasible for 2025.",B.I. Energia,B.I. Energia,,598,,"It is estimated that the project will use 48 x 12 MW. It seems that the Haliade-X 12 MW wind turbine will be deloyed for the realisation of this project. May also deploy ""11 semi-offshore wind turbines"".",,,,"It is estimated that the project will use 48 x 12 MW. It seems that the Haliade-X 12 MW wind turbine will be deloyed for the realisation of this project. May also deploy ""11 semi-offshore wind turbines"".",6,12,,48,,,,Grounded: Not Specified,,,BRL 54000 million,54000,BRL,,,,,,9.3,23,,23,,11.87,,197.17,-3.586,-38.6057,Atlantic Ocean,South America,NO,,,1,,,,,,,,,,,,,,,,,,,
CN5Q,CECEP Yangjiang Nanpeng Island,中节能阳江南鹏岛海上风电项目,China,Under Construction,Guangdong Offshore Wind development Plan (2017-2030),"Guangdong, Yangjiang",One of the 55 5.5MW turbines will be limited to 3MW.,,08 Oct 2020: The tower has been shipped to the site on 8 Oct. Turbine installation expected.,08-May-2019,08-May-2019,18-Sep-2017,01-Nov-2017,,,,2019,300,High,"First 4 pin-piles of a jacket have been installed by vessel Hua Tian Long. Pin pile installation of the first stage of construction is expected to last through to June, with jackets then installed until August.",CECEP,CECEP wind power Corporation (中节能风力发电股份有限公司),,300,,"MySE5.5-155 (MingYang), Turbine nacelle weighs 260t, plus 95t hub.",,,MySE5.5-155,"Turbine nacelle weighs 260t, plus 95t hub.",,5.5,,55,,,155,Various,"54 x Jacket (Piled), 1 x Jacket (Suction Bucket)",Four piles per jacket. At least one foundation is a suction jacket.,,,,,,,,,23.6,30.5,23,32,28,30.98,8.5,45.17,21.4029,112.19,South China Sea,Asia,NO,,,1,,,Sanya,2,45,,220,,,,,,,35,,,,,
CA23,Cedar Spring,,Canada,Dormant,,Ontario,"The capacity and number of turbines reflects the potential total after a two phase development. Phase 1 consists of 5 turbines with a 10MW capacity and phase 2 consisting of an extra 50 turbines with an extra 100MW. In total over the 2 phases the number of turbines will be 55 and the capacity will be 110MW.

Original plans were to start construction in 2012.",http://www.southpointwind.com/Public.html,"22 Dec 2016: Ontario Government has announced it is to keep the moratorium on offshore wind development in effect until all the potential impacts are fully understood. The environment ministry said two recently completed studies for the government on noise and environmental issues show more research is needed, and that the province will monitor the Icebreaker project Ohio is allowing in Lake Erie.",,,01-Feb-2010,,,,,,,,,Southpoint Wind,Southpoint Wind,,110,,Not Decided,,,,,,,,55,,80,,Grounded: Not Specified,,,,,,,,,,,10,15,,,2.3,5.82,,5.16,42.2182,-81.9767,Lake Erie,North America,NO,,,,,,,1,,,27,,,,,,,,,,,,
UK38,Celtic Array North East Potential Development Area,"Zone 9, Irish Sea",United Kingdom,Cancelled,Round 3,"Wales, North","Developer distance from shore and average length of the export cable are based on the whole zone.
This potential development area (PDA) will be developed following Rhiannon and will be divided into 2x500MW projects.
A proposal for the zone development is expected following detailed assessments of the potential impact on shipping, particularly services to the Isle of Man.

July 2014 The Crown Estate invited all Round 3 developers to revise the terms of their agreement as the projects transition from zone appraisals to project development. This could mean that zone development agreements are replaced with project specific contractural agreements.",http://www.centrica.com/celticarray/index.asp?section=North-East#tabcontent,01 Jan 2020: Estimated date for consent authorisation  before the project was cancelled.,,,,01-Jan-2020,,,,,,,,"Centrica (50%), Ørsted (50%)",Celtic Array Limited,,1000,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,27.5,44,,,15,57.67,,358.37,53.9615,-4.1197,Irish Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
UK1R,Celtic Array South West Potential Development Area,"Zone 9, Irish Sea",United Kingdom,Cancelled,Round 3,"Wales, North",July 2014 The Crown Estate invited all Round 3 developers to revise the terms of their agreement as the projects transition from zone appraisals to project development. This could mean that zone development agreements are replaced with project specific contractural agreements.,http://www.centrica.com/celticarray/index.asp?section=South-West#tabcontent,"01 Apr 2017: Grid connection were planned to available on the two Celtic Array development areas including: 500MW 01-Apr-17, 500MW 01-Apr-18, 500MW 01-Apr-19, 1000MW 01-Apr-20, 500MW 01-Apr-21 before the project was cancelled.",,,,01-Jan-2024,,,,,,,,"Centrica (50%), Ørsted (50%)",Celtic Array Limited,,1000,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,32,69,,,15,37.64,,267.23,53.678,-4.8755,Irish Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
